symbol,industry
GROWW,Internet/Platform
GRSE,Defense
GVT&D,Capital Goods
HAL,Defense
HAVELLS,Consumer Durables
HBLENGINE,Defense
HCLTECH,IT
HDFCAMC,Financial Services
HDFCBANK,Banking
HDFCLIFE,Insurance
HEROMOTOCO,Auto
HINDALCO,Metals
HINDCOPPER,Metals
HINDPETRO,Oil & Gas
HINDUNILVR,FMCG
HINDZINC,Metals
HSCL,Chemicals
HUDCO,Financial Services
HYUNDAI,Auto
ICICIAMC,Financial Services
ICICIBANK,Banking
ICICIGI,Insurance
IDBI,Banking
IDEA,Telecom
IDFCFIRSTB,Banking
IFCI,Financial Services
IGL,Oil & Gas
IIFL,Financial Services
IKS,Pharma
INDHOTEL,Services
INDIANB,Banking
INDUSINDBK,Banking
INDUSTOWER,Telecom
INFY,IT
INOXWIND,Power
IOC,Oil & Gas
IRCON,Capital Goods
IRCTC,Internet/Platform
IREDA,Financial Services
IRFC,Financial Services
ITC,FMCG
ITI,Capital Goods
JBMA,Auto
JINDALSTEL,Metals
JMFINANCIL,Financial Services
JSWCEMENT,Cement
JSWENERGY,Power
JSWSTEEL,Metals
JUBLFOOD,FMCG
JYOTICNC,Capital Goods
KALYANKJIL,Retail
KARURVYSYA,Banking
KAYNES,Capital Goods
KEC,Capital Goods
KEI,Capital Goods
KFINTECH,Financial Services
KOTAKBANK,Banking
KPITTECH,IT
LALPATHLAB,Pharma
LAURUSLABS,Pharma
LENSKART,Internet/Platform
LGEINDIA,Consumer Durables
LICHSGFIN,Financial Services
LODHA,Realty
LT,Capital Goods
LTF,Financial Services
LTM,IT
LUPIN,Pharma
M&M,Auto
M&MFIN,Financial Services
MANAPPURAM,Financial Services
MANKIND,Pharma
MARICO,FMCG
MARUTI,Auto
MAZDOCK,Defense
MCX,Financial Services
MEESHO,Internet/Platform
MFSL,Financial Services
MOTHERSON,Auto
MOTILALOFS,Financial Services
MPHASIS,IT
MRF,Auto
MRPL,Oil & Gas
MUTHOOTFIN,Financial Services
NATCOPHARM,Pharma
NATIONALUM,Metals
NAUKRI,IT
NAVINFLUOR,Chemicals
NBCC,Capital Goods
NESTLEIND,FMCG
NETWEB,Capital Goods
NEULANDLAB,Pharma
NH,Pharma
NHPC,Power
NMDC,Metals
NTPC,Power
NUVAMA,Financial Services
NYKAA,Internet/Platform
OBEROIRLTY,Realty
OFSS,IT
OIL,Oil & Gas
OLAELEC,Internet/Platform
ONGC,Oil & Gas
PAGEIND,FMCG
PATANJALI,FMCG
PAYTM,Internet/Platform
PERSISTENT,IT
PFC,Financial Services
PGEL,Consumer Durables
PHOENIXLTD,Realty
PIDILITIND,Chemicals
PIIND,Chemicals
PINELABS,Internet/Platform
PIRAMALFIN,Financial Services
PNB,Banking
PNBHOUSING,Financial Services
POLICYBZR,Internet/Platform
POLYCAB,Capital Goods
POONAWALLA,Financial Services
POWERGRID,Power
POWERINDIA,Capital Goods
PPLPHARMA,Pharma
PREMIERENE,Power
PRESTIGE,Realty
PWL,Internet/Platform
RADICO,FMCG
RAMCOCEM,Cement
RBLBANK,Banking
RECLTD,Financial Services
REDINGTON,IT
RELIANCE,Oil & Gas
RPOWER,Power
RVNL,Capital Goods
SAGILITY,IT
SAIL,Metals
SAILIFE,Pharma
SARDAEN,Metals
SBICARD,Financial Services
SBILIFE,Insurance
SBIN,Banking
SHREECEM,Cement
SHRIRAMFIN,Financial Services
SIEMENS,Capital Goods
SIGNATURE,Realty
SOLARINDS,Capital Goods
SONACOMS,Auto
SRF,Chemicals
STARHEALTH,Insurance
SUNPHARMA,Pharma
SUPREMEIND,Capital Goods
SUZLON,Power
SWANCORP,Power
SWIGGY,Internet/Platform
SYNGENE,Pharma
TATACAP,Financial Services
TATACHEM,Chemicals
TATACOMM,Telecom
TATAELXSI,IT
TATAINVEST,Financial Services
TATAPOWER,Power
TATASTEEL,Metals
TATATECH,Auto
TCS,IT
TECHM,IT
TENNIND,Capital Goods
TIINDIA,Auto
TITAN,Retail
TMCV,Auto
TMPV,Auto
TORNTPHARM,Pharma
TRENT,Retail
TRITURBINE,Capital Goods
TVSMOTOR,Auto
ULTRACEMCO,Cement
UNIONBANK,Banking
UNITDSPR,FMCG
UPL,Chemicals
URBANCO,Services
VBL,FMCG
VEDL,Metals
VMM,Retail
VOLTAS,Consumer Durables
WAAREEENER,Power
WELCORP,Metals
WHIRLPOOL,Consumer Durables
WIPRO,IT
WOCKPHARMA,Pharma
YESBANK,Banking
ZENSARTECH,IT
ZYDUSLIFE,Pharma
